Honda VT 750 ,"745 см3 (45 л.с.), v-образное, 4 такта, 4 передачи, кардан, синий",330 000 ₽,2009,3 053 км
BMW S 1000 RR ,"999 см3 (200 л.с.), рядное, 4 цилиндра, 4 такта, 6 передач, цепь, белый",450 000 ₽,2013,13 000 км
Harley-Davidson V-Rod ,"1 250 см3 (125 л.с.), v-образное, 2 цилиндра, 4 такта, 5 передач, ремень, черный",529 000 ₽,2007,20 320 км
BMW R 1200 RT ,"1 200 см3 (110 л.с.), оппозитное, 2 цилиндра, 4 такта, 6 передач, кардан, серый",399 999 ₽,2005,43 200 км
Honda CB 750 ,"750 см3 (77 л.с.), рядное, 4 цилиндра, 4 такта, 5 передач, цепь, красный",160 000 ₽,1995,67 000 км
Kawasaki KLX 125 ,"125 см3 (10 л.с.), 1 цилиндр, 4 такта, 5 передач, цепь, зеленый",168 000 ₽,2012,2 800 км
Kawasaki Versys 650 ,"650 см3 (64 л.с.), 2 цилиндра, 4 такта, 6 передач, цепь, черный",390 000 ₽,2015,12 000 км
Kawasaki ZZR 400 ,"400 см3 (54 л.с.), рядное, 4 цилиндра, 5 передач, цепь, пурпурный",110 000 ₽,1996,23 000 км
Honda CBR 900RR Fireblade ,"1 000 см3 (128 л.с.), 4 цилиндра, 4 такта, 5 передач, цепь, оранжевый",150 000 ₽,1998,40 000 км
Harley-Davidson CVO ,"1 250 см3 (135 л.с.), v-образное, 2 цилиндра, 4 такта, 5 передач, ремень, оранжевый",650 000 ₽,2007,17 000 км
Honda CBR 600F ,"600 см3 (100 л.с.), рядное, 4 цилиндра, 4 такта, 6 передач, цепь, черный",120 000 ₽,1994,30 000 км
Kawasaki VN1600 Vulcan ,"1 600 см3 (72 л.с.), v-образное, 2 цилиндра, 4 такта, 5 передач, кардан, красный",300 000 ₽,2005,32 000 км
KAYO Basic ,"125 см3, 1 цилиндр, 4 такта, 4 передачи, цепь, белый",38 000 ₽,2015,1 000 км
Racer Nitro ,"250 см3 (18 л.с.), 1 цилиндр, 4 такта, 5 передач, цепь, черный",35 000 ₽,2014,13 000 км
